австрийский: австрийская австрийский австрийской
австрия: австрии австрия
австро: австро
автопортрет: автопортрет
авторство: авторства
академия: академии
александр: александра
алфавит: алфавиту
ангеля: ангели
англ: англ
английский: английском
апрель: апреля
библиографический: библиографических
биографический: биографический
биография: биография
больший: большая
брокгауз: брокгауза
век: века
вена: вена вене вены
венгрия: венгрии венгрия
венский: венской
версия: версия
викидать: викиданных
викимедиа: викимедиа
википедия: википедии википедия
викисклад: викисклад викискладе
виктория: виктория
вклад: вклад
внешний: внешние
войти: войти вошла
волшебный: волшебные
впоследствии: впоследствии
время: время
второстепенный: второстепенных
галерея: галерея
генрих: генрих генриха
геоцепочка: геоцепочками
германский: германском
герой: героев
год: год года году лет
город: городе
гражданский: гражданский
грех: грехов
дата: дата
двор: дворе
действовать: действовать
деятельность: деятельности
догмат: догмата
доп: доп
дополнительный: дополнительные
доступный: доступен
другой: другие других
дюссельдорфский: дюссельдорфской
ефрон: ефрона
ещё: ещё
жанр: жанр
жанровый: жанровую жанровый
живописец: живописец
живопись: живописи живописью
жить: жил
заглавный: заглавная
заниматься: занимался
занятие: занятие
заняться: занялся
запись: запись
зарегистрировать: зарегистрированный
затем: затем
заявление: заявление
збекча: збекча
знак: знак
избранный: избранные
изд: изд
изобразить: изображен
изящный: изящная
императорский: императорском
империя: империи империя
имя: имя имён
инструмент: инструменты
использование: использования
использовать: использующие
история: история
источник: источник источниками источники
июль: июля
кабинетный: кабинетной
кавалер: кавалеры
карла: карла
картина: картину
каталог: каталогах
категория: категории
кладбище: кладбище
класс: класс
код: код
кодекс: кодекс
конфиденциальность: конфиденциальности
королева: королева
король: короля
короткий: короткий
краткий: краткая
кук: куки
лейтец: лейтце
лицензия: лицензии
любовь: любовь
людвиг: людвига
людовик: людовик
манера: манера
мария: мария
марка: марке
мастер: мастеров
материал: материал
медиафайл: медиафайлы
место: место
многий: многих
мобильный: мобильная
мода: моду
мочь: могут
мститель: мститель
мы: нами
мюнхен: мюнхене
навигация: навигации навигация
награда: награды
назвать: назван
назначить: назначен
написать: написал
некоммерческий: некоммерческой
некоторый: некоторые
немой: нем
неоднозначный: неоднозначными
нидерл: нидерл
нидерландский: нидерландских
новый: новые
норвежский: норвежская
ныне: ныне
образец: образцу
образование: образование
обсуждение: обсуждение
окончательный: окончательное
октябрь: октября
она: ею
описание: описание
организация: организации
орден: ордена
особенно: особенно
ответственность: ответственности
отдаться: отдался
отдельный: отдельных
отказ: отказ
отпущение: отпущении
отредактировать: отредактирована
ошибка: ошибке
память: память
паула: паула
перейти: перейти
персоналия: персоналии
персональный: персональные
печать: печати печать
пилотить: пилоти
поведение: поведения
подробный: подробнее
пожертвовать: пожертвовать
поиск: поиск поиску
политика: политика
получить: получил получить
портрет: портрет портреты
портретист: портретисты
портретный: портретной портретный
поселиться: поселился
последний: последний последнюю
постоянный: постоянная
похоронить: похороненные
похоронный: похоронен
почтовый: почтовой
править: править
правка: правки
преамбула: преамбуле
представиться: представились
преподаватель: преподаватель
приговор: приговора
признанный: признанный
примечание: примечания
продолжать: продолжал
проект: проектах
просмотр: просмотры
пространство: пространства
профессор: профессором
прочтение: прочтении
работа: работы
разработчик: разработчики
район: районов
ресурс: ресурсы
родиться: род родившиеся родился
рождение: рождении рождения
роман: романа
российский: российской
русский: русский
сайт: сайты
сведение: сведения
свежий: свежие
свободный: свободной
связанный: связанные
связаться: свяжитесь
сенкевич: сенкевича
система: системе
скачать: скачать
скончаться: скончался
скрытый: скрытые
словарь: словари словарь
служебный: служебные
случай: случаях
случайный: случайная
смертный: смертного
смерть: смерти
смотреть: см
снять: снял
событие: события
совершенно: совершенно
советский: советская
содержание: содержание
создать: создать
сообщество: сообщество
сообщить: сообщить
сохранение: сохранением
спб: спб
сперва: сперва
специальный: специальной
справка: справка
ссылка: ссылка ссылки
статистика: статистика
статья: статьи статья
столица: столицы
страна: страна
страница: страница странице страницу страницы
стюарт: стюарт
сюда: сюда
так: т
текст: текст
текущий: текущие
тематический: тематические
теодор: теодора
товарный: товарный
указание: указанием
умерший: умершие
университет: университета
условие: условий условия
успех: успехом
участие: участие
учиться: учился
учётный: учётную
ф: ф
фамилия: фамилией
фон: фон
фонд: фонд
форум: форум
фотография: фотографией
франц: франц
фёдорович: фёдоровна
художественный: художественное
художество: художеств
художник: художник художники
центральный: центральном
цитировать: цитировать
человек: людях
честь: честь
читать: читать
член: членов
школа: школы
шопрон: шопрон
шопроня: шопроне
эденбург: эденбурге
экспорт: экспорт
элемент: элемент
эммануил: эммануила
энциклопедический: энциклопедический
энциклопедия: энциклопедии
это: это
этот: эта
юношеский: юношескую
язык: языках
